"ft";"fm";"anzahl";"prozent";"avg_ewltp";"avg_masse"
"petrol";"H";"3318073";"30,6276";"120,9";"1465"
"petrol";"M";"2755601";"25,4357";"136,6";"1315"
"electric";"E";"2055863";"18,9767";"0";"1970"
"petrol/electric";"P";"1009870";"9,3217";"31,8";"1981"
"diesel";"M";"902233";"8,3281";"150,1";"1712"
"diesel";"H";"377341";"3,4831";"155,9";"1983"
"lpg";"B";"352153";"3,2506";"119,8";"1283"
"diesel/electric";"P";"47590";"0,4393";"36,3";"2386"
"e85";"H";"11705";"0,108";"123,9";"1682"
"petrol";"B";"1705";"0,0157";"136,2";"1300"
"e85";"F";"679";"0,0063";"208,2";"1848"
"hydrogen";"M";"451";"0,0042";"0";"1993"
"lpg";"M";"115";"0,0011";"150,2";"1368"
"ng";"M";"106";"0,001";"107,3";"1403"
"diesel";"P";"66";"0,0006";"158,6";"2463"
"petrol";"P";"23";"0,0002";"146,8";"2028"
"unknown";"UNKNOWN";"9";"0,0001";"184,3";"1707"
"petrol/electric";"M";"5";"0";"156,2";"1919"
"petrol/electric";"F";"5";"0";"172,6";"2192"
"ng";"B";"2";"0";"105";"1203"
"petrol/electric";"H";"2";"0";"127";"2070"
