"spalte";"belegt";"fehlt";"prozent_belegt"
"Enedc (g/km)";"0";"10833597";"0"
"Ernedc (g/km)";"0";"10833597";"0"
"MMS";"0";"10833597";"0"
"At1 (mm)";"0";"10833597";"0"
"W (mm)";"0";"10833597";"0"
"Z (Wh/km)";"2948208";"7885389";"27,214"
"Erwltp (g/km)";"5589395";"5244202";"51,593"
"Fc";"8518721";"2314876";"78,632"
"Ec (cm3)";"8777219";"2056378";"81,019"
"Ep (KW)";"10374361";"459236";"95,761"
"Mt";"10533501";"300096";"97,23"
"Ewltp (g/km)";"10827071";"6526";"99,94"
"M (kg)";"10833268";"329";"99,997"
"TAN";"10833597";"0";"100"
"R";"10833597";"0";"100"
"Mk";"10833597";"0";"100"
"Cn";"10833597";"0";"100"
"Dr";"10833597";"0";"100"
"Mh";"10833597";"0";"100"
"Man";"10833597";"0";"100"
"Mp";"10833597";"0";"100"
