"position";"quellspalte"
"1";"ID"
"2";"MS"
"3";"Mp"
"4";"VFN"
"5";"Mh"
"6";"Man"
"7";"MMS"
"8";"TAN"
"9";"T"
"10";"Va"
"11";"Ve"
"12";"Mk"
"13";"Cn"
"14";"Ct"
"15";"Cr"
"16";"M (kg)"
"17";"Mt"
"18";"Enedc (g/km)"
"19";"Ewltp (g/km)"
"20";"W (mm)"
"21";"At1 (mm)"
"22";"At2 (mm)"
"23";"Ft"
"24";"Fm"
"25";"Ec (cm3)"
"26";"Ep (KW)"
"27";"Z (Wh/km)"
"28";"IT"
"29";"Ernedc (g/km)"
"30";"Erwltp (g/km)"
"31";"De"
"32";"Vf"
"33";"R"
"34";"Year"
"35";"Status"
"36";"Version_file"
"37";"E (g/km)"
"38";"Er (g/km)"
"39";"Zr"
"40";"Dr"
"41";"Fc"
"42";"Ech"
"43";"RLFI"
