"spalte";"wert";"anzahl";"prozent"
"IT";"(leer)";"5172369";"47,7438"
"IT";"e2 29 37";"610012";"5,6307"
"IT";"e9 29 37";"535483";"4,9428"
"IT";"e6 37";"488905";"4,5129"
"IT";"e2 37";"438671";"4,0492"
"IT";"e2 32 37";"417794";"3,8565"
"IT";"e5 29";"403948";"3,7287"
"IT";"e8 29 37";"325297";"3,0027"
"IT";"e9 37";"199917";"1,8453"
"IT";"e 29 37";"195419";"1,8038"
"IT";"e24 32 37";"182952";"1,6887"
"IT";"e5 29 37";"174613";"1,6118"
"IT";"e24 29 37";"136779";"1,2625"
"IT";"e1 29 37";"133734";"1,2344"
"IT";"e 37";"119800";"1,1058"
"IT";"e1 29";"116047";"1,0712"
"IT";"e3 33";"110861";"1,0233"
"IT";"e13 37";"89411";"0,8253"
"IT";"e2 33 37";"83606";"0,7717"
"IT";"e5 32 37";"77327";"0,7138"
"IT";"e13 29";"77149";"0,7121"
"IT";"e8 29";"70211";"0,6481"
"IT";"e1 32 37";"66004";"0,6093"
"IT";"e4 32 37";"61788";"0,5703"
"IT";"e6 33 37";"54170";"0,5"
"IT";"e9 32 37";"52891";"0,4882"
"IT";"e5 37";"47902";"0,4422"
"IT";"e1 32";"37358";"0,3448"
"IT";"e13 29 37";"34941";"0,3225"
"IT";"e9 32";"34416";"0,3177"
"IT";"e1 37";"30865";"0,2849"
"IT";"e8 37";"28726";"0,2652"
"IT";"e13 32 37";"28467";"0,2628"
"IT";"e9 33 37";"19623";"0,1811"
"IT";"e3 32 37";"16418";"0,1515"
"IT";"e8 32 37";"15449";"0,1426"
"IT";"e13 33 37";"12891";"0,119"
"IT";"e9 29";"12890";"0,119"
"IT";"e2 33";"12814";"0,1183"
"IT";"e24 32";"12664";"0,1169"
"IT";"e2 29";"12061";"0,1113"
"IT";"e3 29 37";"8968";"0,0828"
"IT";"e5 32";"8802";"0,0812"
"IT";"e3 37 32";"7961";"0,0735"
"IT";"e6 28";"7888";"0,0728"
"IT";"e24 37";"4264";"0,0394"
"IT";"e13 28";"4201";"0,0388"
"IT";"e4 33 37";"4153";"0,0383"
"IT";"e2 32";"4084";"0,0377"
"IT";"e8 32";"3201";"0,0295"
"IT";"e5 28 e9 32";"2777";"0,0256"
"IT";"e3 29";"2719";"0,0251"
"IT";"e2 28 29";"2121";"0,0196"
"IT";"e3 28 29";"2117";"0,0195"
"IT";"e24 29";"1673";"0,0154"
"IT";"e2 37 29";"1607";"0,0148"
"IT";"e5 37 32";"1142";"0,0105"
"IT";"e3 37";"1083";"0,01"
"IT";"e4 37 e5 32";"1077";"0,0099"
"IT";"e5 28";"1053";"0,0097"
"IT";"e13 33";"999";"0,0092"
"IT";"e5 37 e9 32";"958";"0,0088"
"IT";"e4 37";"834";"0,0077"
"IT";"e3 38";"727";"0,0067"
"IT";"e3 28";"577";"0,0053"
"IT";"e3 32";"509";"0,0047"
"IT";"e3 28 32 37";"436";"0,004"
"IT";"e 29";"398";"0,0037"
"IT";"e37 39";"387";"0,0036"
"IT";"e5 28 32";"357";"0,0033"
"IT";"e2 28";"333";"0,0031"
"IT";"e13 29  37";"274";"0,0025"
"IT";"e6 32";"264";"0,0024"
"IT";"e5 32  37";"231";"0,0021"
"IT";"e4  33  37";"203";"0,0019"
"IT";"e6  37";"180";"0,0017"
"IT";"e28 32";"164";"0,0015"
"IT";"e2 33 35";"158";"0,0015"
"IT";"e5  e5 29";"133";"0,0012"
"IT";"e5 29  e5 28";"122";"0,0011"
"IT";"e1 33";"113";"0,001"
"IT";"e6     37";"111";"0,001"
"IT";"e5 29  e5 37";"109";"0,001"
"IT";"e4 29 37";"107";"0,001"
"IT";"e5 29 28";"99";"0,0009"
"IT";"e1 28 29";"89";"0,0008"
"IT";"e1 08 29";"86";"0,0008"
"IT";"e24 28 29";"80";"0,0007"
"IT";"e5 28  e9 32";"66";"0,0006"
"IT";"e6 28 29";"63";"0,0006"
"IT";"e3 28 29 37";"51";"0,0005"
"IT";"e6 29 37";"49";"0,0005"
"IT";"e32 37";"46";"0,0004"
"IT";"e5 29  37";"45";"0,0004"
"IT";"e24 28 37";"45";"0,0004"
"IT";"e9 29 33 37";"42";"0,0004"
"IT";"e13 32  37";"41";"0,0004"
"IT";"e4 29 28";"39";"0,0004"
"IT";"e4 29";"34";"0,0003"
"IT";"e4 28";"34";"0,0003"
"IT";"82";"29";"0,0003"
"IT";"e4 32 e4 37";"25";"0,0002"
"IT";"e24 e5 29";"23";"0,0002"
"IT";"e2 35";"23";"0,0002"
"IT";"e1  29";"20";"0,0002"
"IT";"e9 32 28";"18";"0,0002"
"IT";"e5 2937";"18";"0,0002"
"IT";"e9 28 29";"17";"0,0002"
"IT";"e24 37 29";"15";"0,0001"
"IT";"e5  29";"14";"0,0001"
"IT";"e4 29 e4 37";"14";"0,0001"
"IT";"e4  e4 28";"14";"0,0001"
"IT";"e9 29 e9 28";"13";"0,0001"
"IT";"e2 29 35";"13";"0,0001"
"IT";"e5 37  e9 32";"12";"0,0001"
"IT";"e4 32  e4 37";"11";"0,0001"
"IT";"e1 29 35";"11";"0,0001"
"IT";"e1 08 33";"11";"0,0001"
"IT";"e9 29 28";"10";"0,0001"
"IT";"e28 29";"7";"0,0001"
"IT";"e3 37 29";"7";"0,0001"
"IT";"e5 32  e5 37";"7";"0,0001"
"IT";"e2 37 32";"7";"0,0001"
"IT";"e24 28";"7";"0,0001"
"IT";"e24 2e24 29";"7";"0,0001"
"IT";"e5 37  29";"6";"0,0001"
"IT";"e8 28 29";"6";"0,0001"
"IT";"e3 37 29 3";"6";"0,0001"
"IT";"e5 28 29";"6";"0,0001"
"IT";"e24 32 e5 32";"5";"0"
"IT";"e4 29  28";"4";"0"
"IT";"e4 32   e4 37";"4";"0"
"IT";"e13 28 29";"4";"0"
"IT";"e4 28 29";"4";"0"
"IT";"e29 37";"3";"0"
"IT";"e24 32  37";"3";"0"
"IT";"e5 29 e9 32";"3";"0"
"IT";"e3 29 35";"3";"0"
"IT";"e13  37";"3";"0"
"IT";"e1 29  e1 37";"3";"0"
"IT";"e2 38";"3";"0"
"IT";"e2 33 e2 37";"3";"0"
"IT";"e5  e5 32 e5 37";"2";"0"
"IT";"e4 32";"2";"0"
"IT";"e9 28 32";"2";"0"
"IT";"e5 37 29";"2";"0"
"IT";"e34 32 37";"2";"0"
"IT";"e2  32 37";"2";"0"
"IT";"e13 37 29";"2";"0"
"IT";"e24 29 e4 37";"2";"0"
"IT";"e2 29 28";"2";"0"
"IT";"e5 29 38";"1";"0"
"IT";"e5 29 39";"1";"0"
"IT";"e5 32 e5 37";"1";"0"
"IT";"e5 29 3";"1";"0"
"IT";"e5 28 e32";"1";"0"
"IT";"e5 28e9 32";"1";"0"
"IT";"e5 29  28";"1";"0"
"IT";"e5 37 39";"1";"0"
"IT";"e9 28 37";"1";"0"
"IT";"e9 29  e9 28";"1";"0"
"IT";"et 29 37";"1";"0"
"IT";"e9  32";"1";"0"
"IT";"e5 37e9 32";"1";"0"
"IT";"e529  37";"1";"0"
"IT";"e6 32 37";"1";"0"
"IT";"e13 28 37";"1";"0"
"IT";"e24  29 37";"1";"0"
"IT";"e24 29 39";"1";"0"
"IT";"e1 38";"1";"0"
"IT";"e0 32";"1";"0"
"IT";"e1  37";"1";"0"
"IT";"e1 32  e1 37";"1";"0"
"IT";"e3 28 37";"1";"0"
"IT";"e5  28 e9 32";"1";"0"
"IT";"e5  e5 28";"1";"0"
"IT";"e5  e5 32  e5 37";"1";"0"
"IT";"e5   e5 28";"1";"0"
"IT";"e4 29   e4 37";"1";"0"
"IT";"e4 29  e4 37";"1";"0"
"IT";"e4 32 38";"1";"0"
