"spalte";"wert";"anzahl";"prozent"
"Mk";"TOYOTA";"740300";"6,8335"
"Mk";"SKODA";"725053";"6,6928"
"Mk";"RENAULT";"696152";"6,426"
"Mk";"VOLKSWAGEN, VW";"694768";"6,4132"
"Mk";"BMW";"648562";"5,9867"
"Mk";"MERCEDES-BENZ";"573522";"5,294"
"Mk";"PEUGEOT";"567315";"5,2368"
"Mk";"DACIA";"561216";"5,1805"
"Mk";"AUDI";"526993";"4,8645"
"Mk";"VOLKSWAGEN";"510643";"4,7136"
"Mk";"HYUNDAI";"425058";"3,9236"
"Mk";"KIA";"387758";"3,5793"
"Mk";"FORD";"343083";"3,1669"
"Mk";"CITROEN";"330744";"3,053"
"Mk";"OPEL";"311770";"2,8779"
"Mk";"VOLVO";"246719";"2,2774"
"Mk";"CUPRA";"230087";"2,1239"
"Mk";"FIAT";"219782";"2,0288"
"Mk";"MG";"209345";"1,9324"
"Mk";"NISSAN";"193407";"1,7853"
"Mk";"SEAT";"192964";"1,7812"
"Mk";"TESLA";"185510";"1,7124"
"Mk";"SUZUKI";"147989";"1,3661"
"Mk";"BYD";"135199";"1,248"
"Mk";"MAZDA";"118442";"1,0933"
"Mk";"MINI";"114673";"1,0585"
"Mk";"JEEP";"111971";"1,0336"
"Mk";"PORSCHE";"66733";"0,616"
"Mk";"ALFA ROMEO";"54410";"0,5022"
"Mk";"LEXUS";"51214";"0,4727"
"Mk";"HONDA";"43436";"0,4009"
"Mk";"MITSUBISHI";"43356";"0,4002"
"Mk";"LAND ROVER";"43351";"0,4002"
"Mk";"OMODA";"29940";"0,2764"
"Mk";"POLESTAR";"28912";"0,2669"
"Mk";"LEAPMOTOR";"28791";"0,2658"
"Mk";"JAECOO";"25230";"0,2329"
"Mk";"DS";"22523";"0,2079"
"Mk";"DR";"20544";"0,1896"
"Mk";"XPENG";"19825";"0,183"
"Mk";"SUBARU";"14890";"0,1374"
"Mk";"EBRO";"12460";"0,115"
"Mk";"LANCIA";"11338";"0,1047"
"Mk";"SSANGYONG";"11065";"0,1021"
"Mk";"SMART";"10444";"0,0964"
"Mk";"KG MOBILITY";"9244";"0,0853"
"Mk";"LYNK&CO";"8602";"0,0794"
"Mk";"ALPINE";"8428";"0,0778"
"Mk";"VOLKSWAGEN VW";"7421";"0,0685"
"Mk";"VOLKSWAGEN-VW";"6247";"0,0577"
"Mk";"DS AUTOMOBILES";"5270";"0,0486"
"Mk";"ZEEKR";"5076";"0,0469"
"Mk";"DFSK";"4501";"0,0415"
"Mk";"CHERY";"4309";"0,0398"
"Mk";"FERRARI";"4069";"0,0376"
"Mk";"EVO";"3828";"0,0353"
"Mk";"VW";"3425";"0,0316"
"Mk";"BAIC";"3346";"0,0309"
"Mk";"MG- ROEWE";"3244";"0,0299"
"Mk";"EMC";"3182";"0,0294"
"Mk";"MASERATI";"3111";"0,0287"
"Mk";"MERCEDES";"2996";"0,0277"
