"spalte";"wert";"anzahl";"prozent"
"MS";"DE";"2772367";"25,5905"
"MS";"FR";"1731737";"15,9849"
"MS";"IT";"1505912";"13,9004"
"MS";"ES";"1196466";"11,044"
"MS";"PL";"440901";"4,0698"
"MS";"BE";"409669";"3,7815"
"MS";"NL";"384556";"3,5497"
"MS";"AT";"284427";"2,6254"
"MS";"SE";"258876";"2,3896"
"MS";"CZ";"239896";"2,2144"
"MS";"PT";"223842";"2,0662"
"MS";"DK";"184313";"1,7013"
"MS";"NO";"179394";"1,6559"
"MS";"RO";"156729";"1,4467"
"MS";"GR";"143327";"1,323"
"MS";"IE";"125130";"1,155"
"MS";"HU";"124733";"1,1514"
"MS";"SK";"92732";"0,856"
"MS";"HR";"68176";"0,6293"
"MS";"SI";"56499";"0,5215"
"MS";"FI";"48818";"0,4506"
"MS";"BG";"47814";"0,4413"
"MS";"LU";"46650";"0,4306"
"MS";"LT";"41376";"0,3819"
"MS";"LV";"22098";"0,204"
"MS";"CY";"14401";"0,1329"
"MS";"IS";"13489";"0,1245"
"MS";"EE";"12942";"0,1195"
"MS";"MT";"6327";"0,0584"
